Name,Location,IconPath
安徽大学,中国.安徽省,
安徽工业大学,中国.安徽省,
安徽师范大学,中国.安徽省,
安徽医科大学,中国.安徽省,
安庆师范大学,中国.安徽省,
北京师范大学珠海校区,中国.广东省,
大连理工大学,中国.辽宁省,
大连理工大学盘锦校区,中国.辽宁省,
电子科技大学,中国.四川省,
东北农业大学,中国.黑龙江省,
贵州财经大学,中国.贵州省,
哈尔滨工业大学深圳校区,中国.广东省,
合肥工业大学,中国.安徽省,
河北医科大学,中国.河北省,
河海大学,中国.江苏省,
河南科技大学,中国.河南省,
吉林大学,中国.吉林省,
吉林动画学院,中国.吉林省,
暨南大学,中国.广东省,
江南大学,中国.江苏省,
南昌大学,中国.江西省,
南京农业大学,中国.江苏省,
南京邮电大学,中国.江苏省,
厦门大学,中国.福建省,
山东大学,中国.山东省,
山东大学威海分校,中国.山东省,
陕西师范大学,中国.陕西省,
上海大学,中国.上海市,
上海电力大学,中国.上海市,
太原理工大学,中国.山西省,
温州肯恩大学,中国.浙江省,
武汉理工大学,中国.湖北省,
西安交通大学,中国.陕西省,
西北工业大学,中国.陕西省,
西南交通大学,中国.四川省,
格拉斯哥大学,英国.苏格兰,
长安大学,中国.陕西省,
郑州西亚斯学院,中国.河南省,
中北大学,中国.山西省,
中国地质大学（武汉）,中国.湖北省,
中国海洋大学,中国.山东省,
中国科技大学,中国.安徽省,
中国矿业大学,中国.江苏省,
中国民航大学,中国.天津市,
中国药科大学,中国.江苏省,
